id,guild_id,spawn_channel,enabled,silent
121,1366131352172498944,1371471827552960543,t,f
122,1069542099604746310,1459616656484597782,t,f
123,1397100758771699763,1397100765004173437,t,f
2,1157610381250940978,1410274341970771979,t,f
124,1431914256109932647,1459581076690436177,t,f
125,821352654458454036,1001587867253997618,t,f
126,1457693063546667152,1457693064251576416,t,f
114,1378872899225649262,1431356498566451242,t,f
127,1457890356870905928,1457890359303733433,t,f
128,1371817304563908618,1371817304563908622,t,f
129,1266337192100499578,1266388556155326566,t,f
130,1454958977010893027,1455066360789995563,t,f
132,1378237729858519052,1460765567744082186,t,f
131,1443402986020667444,1460812650798907402,t,f
133,1070565548041183302,1111454574209933313,t,f
134,1442618740821721190,1461504349745319957,t,f
