id,discord_id,moderator_id,reason,date
1,1336055620737962026,1135233173840732230,,2026-01-06 16:50:42.091489+00
2,1321074055650082898,1135233173840732230,,2026-01-06 16:52:34.817555+00
3,1310959285857157195,1135233173840732230,duping,2026-01-08 12:34:52.307205+00
4,1261011560399376414,1135233173840732230,duping,2026-01-08 12:35:08.743562+00
5,1097961218259570854,1135233173840732230,duping,2026-01-08 12:35:45.101885+00
6,1270435588302049451,1135233173840732230,duping,2026-01-08 12:36:35.588304+00
8,1375779169245593731,1135233173840732230,ban evading,2026-01-08 12:57:07.684595+00
