id,discord_id,donation_policy,privacy_policy,mention_policy,friend_policy,trade_cooldown_policy,extra_data,coins
114,1121038540592136214,1,2,1,1,1,{},0
115,1216002608276177036,1,2,1,1,1,{},0
116,1352416127099080755,1,2,1,1,1,{},0
117,624709572279533580,1,2,1,1,1,{},0
118,257990173172695042,1,2,1,1,1,{},0
119,1239364339803095043,1,2,1,1,1,{},0
120,1405411405766721606,1,2,1,1,1,{},0
121,1033428144746668092,1,2,1,1,1,{},0
122,895805501730852944,1,2,1,1,1,{},0
123,1139766629761294357,1,2,1,1,1,{},0
124,1067864387286732851,1,2,1,1,1,{},0
125,1429572451792326676,1,2,1,1,1,{},0
127,1354187986643714128,1,2,1,1,1,{},0
128,911823925422489610,1,2,1,1,1,{},0
129,1385099457607106673,1,2,1,1,1,{},0
216,1376932683157999687,1,2,1,1,1,{},0
131,1260636247878144080,1,2,1,1,1,{},0
133,590707425666007050,1,2,1,1,1,{},0
134,936347554583560232,1,2,1,1,1,{},0
135,1141681511544922122,1,2,1,1,1,{},0
200,1211000403030708274,1,2,1,1,1,{},0
137,1234612142888714251,1,2,1,1,1,{},0
138,725538556298133536,1,2,1,1,1,{},0
139,908819433110241280,1,2,1,1,1,{},0
140,1241218964793593896,1,2,1,1,1,{},0
141,854403976244887552,1,2,1,1,1,{},0
142,1278152664839880715,1,2,1,1,1,{},0
143,1296991255645130762,1,2,1,1,1,{},0
145,1249105358589268068,1,2,1,1,1,{},0
146,1221971374009221256,1,2,1,1,1,{},0
147,1423565470354903110,1,2,1,1,1,{},0
149,1046588755034775653,1,2,1,1,1,{},0
150,970434270856364032,1,2,1,1,1,{},0
151,692830345573302365,1,2,1,1,1,{},0
152,1008121906660126771,1,2,1,1,1,{},0
153,456141406772133898,1,2,1,1,1,{},0
154,1192583544564875397,1,2,1,1,1,{},0
155,1237109190527418428,1,2,1,1,1,{},0
156,655910123063214080,1,2,1,1,1,{},0
157,1405375255244964031,1,2,1,1,1,{},0
201,1116681126786899999,1,2,1,1,1,{},0
158,1292558249668903025,1,2,1,1,1,{},0
159,1122594843269550130,1,2,1,1,1,{},0
160,1140854353683554424,1,2,1,1,1,{},0
161,1263664138387722310,1,2,1,1,1,{},0
162,1209555062528155658,1,2,1,1,1,{},0
163,1386046950373195789,1,2,1,1,1,{},0
210,1143966096840470588,1,2,1,1,1,{},0
164,715716192802963456,1,2,1,1,1,{},0
165,1012138621396074597,1,2,1,1,1,{},0
167,854720334107246602,1,2,1,1,1,{},0
168,1327490912821055570,1,2,1,1,1,{},0
169,455223952445538314,1,2,1,1,1,{},0
170,609918546172182528,1,2,1,1,1,{},0
171,1429147112855175239,1,2,1,1,1,{},0
172,1386422940123529307,1,2,1,1,1,{},0
173,784238291162759192,1,2,1,1,1,{},0
174,362431513641353218,1,2,1,1,1,{},0
175,1394525422447890442,1,2,1,1,1,{},0
176,733891127316316200,1,2,1,1,1,{},0
177,430401539107192833,1,2,1,1,1,{},0
179,1396021960584200233,1,2,1,1,1,{},0
180,461965832898084876,1,2,1,1,1,{},0
181,739996669827088465,1,2,1,1,1,{},0
182,804823486727847956,1,2,1,1,1,{},0
183,712210374035767336,1,2,1,1,1,{},0
184,1445264252918038741,1,2,1,1,1,{},0
202,1353158847027478689,1,2,1,1,1,{},0
185,1193684078713651311,1,2,1,1,1,{},0
186,812181869738590219,1,2,1,1,1,{},0
187,1398511048377630840,1,2,1,1,1,{},0
199,803438753459994654,1,2,1,1,1,"{""last_claim_date"": ""2026-01-07T21:50:56.998205""}",0
189,657330393036488717,1,2,1,1,1,{},0
190,1268855811762032713,1,2,1,1,1,{},0
136,742527324670525520,1,2,1,1,1,"{""last_claim_date"": ""2025-12-05T03:30:19.587274""}",0
191,1132050475596918834,1,2,1,1,1,{},0
192,648217815706501131,1,2,1,1,1,{},0
193,1086190915191853099,1,2,1,1,1,{},0
194,1391746795285254216,1,2,1,1,1,{},0
195,1264019277405491244,1,2,1,1,1,{},0
208,1415413113729323018,1,2,1,1,1,{},0
196,1319226692207771694,1,2,1,1,1,"{""last_claim_date"": ""2025-12-03T13:12:39.972422""}",0
197,1344660214980280410,1,2,1,1,1,"{""last_claim_date"": ""2025-12-03T13:27:23.208811""}",0
203,327218801756209152,1,2,1,1,1,{},0
204,329115090966020097,1,2,1,1,1,{},0
205,1138319556478255105,1,2,1,1,1,{},0
206,483301253850333208,1,2,1,1,1,{},0
207,413527400291237889,1,2,1,1,1,{},0
148,1418783845217472632,1,2,1,1,1,"{""last_claim_date"": ""2025-12-09T12:35:14.039880""}",0
220,1349553957869060198,1,2,1,1,1,{},0
209,1110415416192421918,1,2,1,1,1,{},0
188,978754204028002324,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T01:36:37.043772""}",0
211,1220511990544597096,1,2,1,1,1,{},0
212,1395070400500863119,1,2,1,1,1,{},0
213,327875655607910401,1,2,1,1,1,{},0
214,1203565603013525545,1,2,1,1,1,{},0
215,834142053834817546,1,2,1,1,1,"{""last_claim_date"": ""2025-12-05T18:56:32.037345""}",0
130,1407396702679203840,1,2,1,1,1,"{""last_claim_date"": ""2025-12-05T19:17:55.529828""}",0
217,1113570884100309044,1,2,1,1,1,{},0
218,1128457004327915611,1,2,1,1,1,{},0
219,1389664185209851985,1,2,1,1,1,{},0
221,1273094030774898773,1,2,1,1,1,{},0
166,543232175365947421,1,2,1,1,1,{},6300
144,798023778961326150,1,2,1,1,1,"{""last_claim_date"": ""2026-01-15T23:07:04.912847""}",0
198,945870183019454544,1,2,1,1,1,"{""last_claim_date"": ""2026-01-13T20:01:30.946022""}",0
64,1193020046704918681,1,2,1,1,1,"{""last_claim_date"": ""2026-01-04T05:13:06.561001""}",100000
132,957402378863272007,1,2,1,1,1,{},100
222,1432969154025230410,1,2,1,1,1,{},0
223,1397004433287680152,1,2,1,1,1,{},0
224,1167991411392643157,1,2,1,1,1,{},0
225,996824911161073775,1,2,1,1,1,{},0
227,1443764117247627347,1,2,1,1,1,{},0
228,1379640254142746666,1,2,1,1,1,{},0
229,1204550470996074497,1,2,1,1,1,{},0
266,409402638501937153,1,2,1,1,1,{},0
230,891771939604037653,1,2,1,1,1,"{""last_claim_date"": ""2025-12-09T17:10:37.981877""}",0
231,796919399995015179,1,2,1,1,1,{},0
232,788134690225258506,1,2,1,1,1,{},0
233,1380354627220017182,1,2,1,1,1,{},0
234,1383458739952156733,1,2,1,1,1,{},0
267,1362877337577980240,1,2,1,1,1,{},0
235,534233860779540480,1,2,1,1,1,{},0
237,1392905067220176966,1,2,1,1,1,{},0
318,768279192860884993,1,2,1,1,1,{},0
238,1203457462196506704,1,2,1,1,1,{},0
239,1248916945001123974,1,2,1,1,1,{},0
240,1213905196518735966,1,2,1,1,1,{},0
241,419892039455342592,1,2,1,1,1,{},0
242,1046150611604873286,1,2,1,1,1,{},0
264,1221302217961771089,1,2,1,1,1,"{""last_claim_date"": ""2025-12-22T22:42:38.233739""}",0
243,592070208785743882,1,2,1,1,1,{},0
268,1408604780317905048,1,2,1,1,1,{},0
269,856244534723608666,1,2,1,1,1,{},0
244,1389664708054749456,1,2,1,1,1,{},0
245,676623118881652747,1,2,1,1,1,{},0
270,1374854888659488769,1,2,1,1,1,{},0
246,981013232909160478,1,2,1,1,1,{},0
278,1443398833542402108,1,2,1,1,1,"{""last_claim_date"": ""2025-12-26T14:10:04.415988""}",0
271,1338163165455712257,1,2,1,1,1,{},0
272,1386177793259208725,1,2,1,1,1,{},0
273,1181693458151374949,1,2,1,1,1,{},0
274,1203877966824865858,1,2,1,1,1,{},0
247,1127374039036481559,1,2,1,1,1,{},0
275,1219092467962482828,1,2,1,1,1,{},0
276,1427772187070435378,1,2,1,1,1,{},0
248,1220845510680772731,1,2,1,1,1,{},0
249,1231343260891349106,1,2,1,1,1,{},0
286,1052346426799165460,1,2,1,1,1,{},0
287,1364706626082443308,1,2,1,1,1,{},0
277,1439305435461976165,1,2,1,1,1,{},0
288,559164239005220864,1,2,1,1,1,{},0
250,957430327935131698,1,2,1,1,1,{},0
279,1114337248742215781,1,2,1,1,1,{},0
280,1204995182819541055,1,2,1,1,1,{},0
251,1278033926912479376,1,2,1,1,1,{},0
252,1311434645463896145,1,2,1,1,1,{},0
308,1392413338947813572,1,2,1,1,1,{},0
309,840792319313313842,1,2,1,1,1,{},0
290,1156584096097640491,1,2,1,1,1,{},0
291,1210005822026027081,1,2,1,1,1,{},0
253,1404149217965903914,1,2,1,1,1,{},0
254,1117623644013744149,1,2,1,1,1,{},0
292,1155473765354983575,1,2,1,1,1,{},0
255,1251150669050810531,1,2,1,1,1,{},0
314,1260615413331525676,1,2,1,1,1,{},0
256,1432070728081084507,1,2,1,1,1,{},0
257,925988606739349554,1,2,1,1,1,{},0
258,1314016951244423170,1,2,1,1,1,{},0
259,945475746321805323,1,2,1,1,1,{},0
327,1244357802537910316,1,2,1,1,1,{},3200
260,777217814259433483,1,2,1,1,1,{},0
262,769578865814143017,1,2,1,1,1,{},0
293,1341454092672700516,1,2,1,1,1,{},0
263,1340343925608812549,1,2,1,1,1,{},0
310,1454895941537632492,1,2,1,1,1,{},0
265,1437235350396342303,1,2,1,1,1,{},0
295,825907600863395840,1,2,1,1,1,{},0
289,1397899569290940479,1,2,1,1,1,"{""last_claim_date"": ""2026-01-13T09:19:50.737318""}",0
294,1298550012690694177,1,2,1,1,1,{},0
296,1056045160707915807,1,2,1,1,1,{},0
297,1152259134176120912,1,2,1,1,1,{},0
298,1193665248478122045,1,2,1,1,1,{},0
299,806170020437950465,1,2,1,1,1,{},0
282,896190613358247946,1,2,1,1,1,{},0
283,1391294909289332766,1,2,1,1,1,{},0
284,664201205659992064,1,2,1,1,1,{},0
285,202624734775607296,1,2,1,1,1,"{""last_claim_date"": ""2026-01-12T08:48:11.632976""}",0
300,1277649377761951745,1,2,1,1,1,{},0
301,737797524072562699,1,2,1,1,1,{},0
302,1023330173136936991,1,2,1,1,1,{},0
311,1201852798098997288,1,2,1,1,1,{},0
312,1443462188068110336,1,2,1,1,1,{},0
303,1315053530729676813,1,2,1,1,1,{},0
304,1054731253489877052,1,2,1,1,1,{},0
236,792061603629629521,1,2,1,1,1,"{""last_claim_date"": ""2026-01-14T12:45:25.783835""}",0
305,1381421417718874142,1,2,1,1,1,{},0
306,1409532385363497023,1,2,1,1,1,{},0
307,1408993165855166508,1,2,1,1,1,{},0
315,1355136970770087947,1,2,1,1,1,{},0
281,771555690812276776,1,2,1,1,1,{},0
313,1135403474239107222,1,2,1,1,1,{},0
316,749658746535280771,1,2,1,1,1,{},0
317,817152879131099157,1,2,1,1,1,{},0
126,766442670075674626,1,2,1,1,1,"{""last_claim_date"": ""2026-01-15T10:46:25.481703""}",0
320,1295116187101036554,1,2,1,1,1,{},0
321,928677442812522527,1,2,1,1,1,{},0
322,767357620784594964,1,2,1,1,1,{},0
323,1372831119313080384,1,2,1,1,1,{},0
324,1189132579618689034,1,2,1,1,1,{},0
325,427641167312715786,1,2,1,1,1,{},0
326,1071148824690708490,1,2,1,1,1,{},0
414,1283758023306645556,1,2,1,1,1,{},0
415,1326535110626906112,1,2,1,1,1,{},0
416,1282582140311048280,1,2,1,1,1,{},0
261,1057086138306793512,1,2,1,1,1,"{""last_claim_date"": ""2026-01-15T19:58:26.272917""}",0
27,1108456246794797172,1,2,1,1,1,"{""last_claim_date"": ""2026-01-15T00:02:30.796761""}",2100
226,840361995307843596,1,2,1,1,1,"{""last_claim_date"": ""2026-01-16T05:00:00.266718""}",0
328,1368368135324827699,1,2,1,1,1,"{""last_claim_date"": ""2026-01-01T01:02:26.495094""}",0
329,1102098077592072265,1,2,1,1,1,{},0
330,1412243471993143487,1,2,1,1,1,{},0
331,1284704864202653770,1,2,1,1,1,{},0
349,911636323696263198,1,2,1,1,1,{},0
333,1322976422796595275,1,2,1,1,1,{},0
334,1367415195114278912,1,2,1,1,1,{},0
337,1147661663479287928,1,2,1,1,1,{},0
338,550026430881333248,1,2,1,1,1,{},0
339,967781250880385034,1,2,1,1,1,{},0
340,642651884812894208,1,2,1,1,1,{},0
350,1323500000684281938,1,2,1,1,1,{},0
378,866114691066494996,1,2,1,1,1,"{""last_claim_date"": ""2026-01-05T22:08:24.444246""}",0
341,993151436584144947,1,2,1,1,1,{},1000
380,690830869593718794,1,2,1,1,1,"{""last_claim_date"": ""2026-01-08T14:34:17.747302""}",87549
342,975432431668703283,1,2,1,1,1,{},0
343,1149505464917315654,1,2,1,1,1,{},0
345,910666300815204382,1,2,1,1,1,{},0
346,1456002475638128845,1,2,1,1,1,{},0
347,1399865806673674415,1,2,1,1,1,{},0
348,1240768821644492822,1,2,1,1,1,{},0
387,1370389226247684117,1,2,1,1,2,"{""last_claim_date"": ""2026-01-11T06:01:09.097572""}",91400
397,1261303718926614599,1,2,1,1,1,"{""last_claim_date"": ""2026-01-14T13:54:19.588904""}",7400
405,777266775657807882,1,2,1,1,1,{},0
351,1238071837066395683,1,2,1,1,1,{},0
352,1370581877005484082,1,2,1,1,1,{},0
353,1115091110444933121,1,2,1,1,1,{},0
412,1309089857171099700,1,2,1,1,1,{},0
354,949327566731374613,1,2,1,1,1,{},0
356,1190734909581557770,1,2,1,1,1,{},0
388,1248851961797677079,1,2,1,1,1,"{""last_claim_date"": ""2026-01-07T12:38:48.541458""}",2400
357,1411498146089140264,1,2,1,1,1,{},0
358,1096665825877954701,1,2,1,1,1,{},0
359,1410708434940071969,1,2,1,1,1,{},0
360,1173784013320753329,1,2,1,1,1,{},0
361,1240043046574231683,1,2,1,1,1,{},0
362,1184523396403437578,1,2,1,1,1,{},0
410,1012422223220453457,1,1,1,1,1,{},225
363,730783860408844370,1,2,1,1,1,{},0
364,1436871674707578881,1,2,1,1,1,{},0
365,1091455995215097997,1,2,1,1,1,{},0
366,1437299751887568936,1,2,1,1,1,{},0
367,1387994231456661614,1,2,1,1,1,{},0
368,1280620942451540070,1,2,1,1,1,{},0
389,1389191889844174848,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T09:30:17.993479""}",0
369,1038875916484481105,1,2,1,1,1,{},0
370,1224844163455914116,1,2,1,1,1,{},0
65,1383994433883607131,1,1,1,1,1,"{""last_claim_date"": ""2026-01-14T20:33:36.245120""}",18403
371,1340591315141791786,1,2,1,1,1,{},0
400,1375812267039264858,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T14:20:44.842241""}",0
372,878394753530601501,1,2,1,1,1,{},0
401,1336055620737962026,1,1,1,1,1,"{""last_claim_date"": ""2026-01-06T15:37:28.053357""}",900
417,1252954194357260372,1,2,1,1,1,{},0
373,1025118912486047884,1,2,1,1,1,"{""last_claim_date"": ""2026-01-05T14:17:01.787539""}",0
374,794615268416028703,1,2,1,1,1,{},0
406,1349888663487647865,1,2,1,1,1,{},0
375,1248057176237277239,1,2,1,1,1,{},0
376,1336877934564216924,1,2,1,1,1,"{""last_claim_date"": ""2026-01-05T20:20:12.643213""}",0
377,1011004444244197436,1,2,1,1,1,{},0
381,1097961218259570854,1,2,1,1,2,"{""last_claim_date"": ""2026-01-07T18:57:07.404372""}",31400
394,348685913238405120,1,2,1,1,1,{},0
395,1448743935236116633,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T15:38:00.450955""}",7900
